Name	ID(decimal)	ID(hex)
Canopy Slam	0	#00
Giant Lemons	1	#01
Tree Twister	2	#02
Gallum Warpcore	3	#03
Zero Degrees	4	#04
Shirk Blubber	5	#05
Mechoes	6	#06
Hidden Oasis	7	#07
Rock Hopper	8	#08
Disaster Manager	9	#09
Ambient Leaves	10	#0A
Ambient Winds	11	#0B
Ambient Breeze	12	#0C
Chief Creative Officer	13	#0D
Sanding Edges	14	#0E
Reflective Play	15	#0F
The Zone	16	#10
Final Touches	17	#11
Woanope Sunrise	18	#12
Crystallized Thoughts	19	#13
Shaded Grotto	20	#14
Butter Flies	21	#15
Death Executive	22	#16
Secret Spaceducks	23	#17
Stalac Tight	24	#18
Heroes Lost	25	#19
Dripline	26	#1A
Ambient Squelches	27	#1B
Hidden Jems	28	#1C
Payday	29	#1D
On-Time Delivery	30	#1E
En Route	31	#1F
Levelhead	32	#20
Breakroom Bop	33	#21
Clockwork Punchcard	34	#22
Thermal Paced	35	#23
Slurb n' Save	36	#24
Perplexitude	37	#25